MODALIDADE,ÁREA DE CONHECIMENTO,ANO,REMUNERAÇÃO MÉDIA
Doutorado,Ciências da Saúde,2015,"R$ 13.979,55"
Doutorado,Ciências da Saúde,2016,"R$ 14.904,35"
Doutorado,Ciências da Saúde,2017,"R$ 15.395,57"
Doutorado,Ciências Exatas e da Terra,2009,"R$ 8.312,73"
Doutorado,Ciências Exatas e da Terra,2010,"R$ 10.421,17"
Doutorado,Ciências Exatas e da Terra,2011,"R$ 10.894,12"
Doutorado,Ciências Exatas e da Terra,2012,"R$ 11.321,23"
Doutorado,Ciências Exatas e da Terra,2013,"R$ 12.595,00"
Doutorado,Ciências Exatas e da Terra,2014,"R$ 13.938,11"
Doutorado,Ciências Exatas e da Terra,2015,"R$ 14.553,41"
Doutorado,Ciências Exatas e da Terra,2016,"R$ 15.539,89"
Doutorado,Ciências Exatas e da Terra,2017,"R$ 16.485,89"
Doutorado,Ciências Humanas,2009,"R$ 8.116,82"
Doutorado,Ciências Humanas,2010,"R$ 10.124,92"
Doutorado,Ciências Humanas,2011,"R$ 10.601,91"
Doutorado,Ciências Humanas,2012,"R$ 10.904,99"
Doutorado,Ciências Humanas,2013,"R$ 11.957,03"
Doutorado,Ciências Humanas,2014,"R$ 13.076,89"
Doutorado,Ciências Humanas,2015,"R$ 13.769,66"
Doutorado,Ciências Humanas,2016,"R$ 14.556,88"
Doutorado,Ciências Humanas,2017,"R$ 15.314,64"
Doutorado,Ciências Sociais Aplicadas,2009,"R$ 11.425,34"
Doutorado,Ciências Sociais Aplicadas,2010,"R$ 13.124,58"
Doutorado,Ciências Sociais Aplicadas,2011,"R$ 13.770,56"
Doutorado,Ciências Sociais Aplicadas,2012,"R$ 14.150,11"
Doutorado,Ciências Sociais Aplicadas,2013,"R$ 15.152,97"
Doutorado,Ciências Sociais Aplicadas,2014,"R$ 16.018,86"
Doutorado,Ciências Sociais Aplicadas,2015,"R$ 16.989,39"
Doutorado,Ciências Sociais Aplicadas,2016,"R$ 17.854,88"
Doutorado,Ciências Sociais Aplicadas,2017,"R$ 18.410,91"
Doutorado,Engenharias,2009,"R$ 9.450,17"
Doutorado,Engenharias,2010,"R$ 11.563,67"
Doutorado,Engenharias,2011,"R$ 12.176,04"
Doutorado,Engenharias,2012,"R$ 12.634,92"
Doutorado,Engenharias,2013,"R$ 13.968,58"
Doutorado,Engenharias,2014,"R$ 15.323,25"
Doutorado,Engenharias,2015,"R$ 15.916,27"
Doutorado,Engenharias,2016,"R$ 16.834,48"
Doutorado,Engenharias,2017,"R$ 17.713,37"
Doutorado,"Linguística, Letras e Artes",2009,"R$ 7.333,08"
Doutorado,"Linguística, Letras e Artes",2010,"R$ 9.328,91"
Doutorado,"Linguística, Letras e Artes",2011,"R$ 9.869,73"
Doutorado,"Linguística, Letras e Artes",2012,"R$ 10.221,33"
Doutorado,"Linguística, Letras e Artes",2013,"R$ 11.461,10"
Doutorado,"Linguística, Letras e Artes",2014,"R$ 12.617,98"
Doutorado,"Linguística, Letras e Artes",2015,"R$ 13.131,19"
Doutorado,"Linguística, Letras e Artes",2016,"R$ 13.885,01"
Doutorado,"Linguística, Letras e Artes",2017,"R$ 14.604,66"
Doutorado,Multidisciplinar,2009,"R$ 8.719,23"
Doutorado,Multidisciplinar,2010,"R$ 10.254,53"
Doutorado,Multidisciplinar,2011,"R$ 10.723,56"
Doutorado,Multidisciplinar,2012,"R$ 11.186,23"
Doutorado,Multidisciplinar,2013,"R$ 12.089,20"
Doutorado,Multidisciplinar,2014,"R$ 13.173,59"
Doutorado,Multidisciplinar,2015,"R$ 13.742,31"
Doutorado,Multidisciplinar,2016,"R$ 14.465,56"
Doutorado,Multidisciplinar,2017,"R$ 15.204,33"
