MODALIDADE,ÁREA DE CONHECIMENTO,ANO,REMUNERAÇÃO MÉDIA
Mestrado,Multidisciplinar,2012,"7.591,83"
Mestrado,Multidisciplinar,2013,"7.997,61"
Mestrado,Multidisciplinar,2014,"8.866,65"
Mestrado,Multidisciplinar,2015,"9.184,16"
Mestrado,Multidisciplinar,2016,"9.477,53"
Mestrado,Multidisciplinar,2017,"9.640,88"
Doutorado,Ciências Agrárias,2009,"8.345,03"
Doutorado,Ciências Agrárias,2010,"10.560,57"
Doutorado,Ciências Agrárias,2011,"11.123,31"
Doutorado,Ciências Agrárias,2012,"12.339,36"
Doutorado,Ciências Agrárias,2013,"13.008,15"
Doutorado,Ciências Agrárias,2014,"14.159,57"
Doutorado,Ciências Agrárias,2015,"14.818,52"
Doutorado,Ciências Agrárias,2016,"15.779,88"
Doutorado,Ciências Agrárias,2017,"16.510,94"
Doutorado,Ciências Biológicas,2009,"8.038,97"
Doutorado,Ciências Biológicas,2010,"9.923,44"
Doutorado,Ciências Biológicas,2011,"10.319,47"
Doutorado,Ciências Biológicas,2012,"10.942,13"
Doutorado,Ciências Biológicas,2013,"11.927,52"
Doutorado,Ciências Biológicas,2014,"12.910,82"
Doutorado,Ciências Biológicas,2015,"13.438,88"
Doutorado,Ciências Biológicas,2016,"14.384,78"
Doutorado,Ciências Biológicas,2017,"14.923,49"
Doutorado,Ciências da Saúde,2009,"8.708,19"
Doutorado,Ciências da Saúde,2010,"10.405,34"
Doutorado,Ciências da Saúde,2011,"11.008,62"
Doutorado,Ciências da Saúde,2012,"11.426,89"
Doutorado,Ciências da Saúde,2013,"12.443,91"
Doutorado,Ciências da Saúde,2014,"13.374,39"
Doutorado,Ciências da Saúde,2015,"13.979,55"
Doutorado,Ciências da Saúde,2016,"14.904,35"
Doutorado,Ciências da Saúde,2017,"15.395,57"
Doutorado,Ciências Exatas e da Terra,2009,"8.312,73"
Doutorado,Ciências Exatas e da Terra,2010,"10.421,17"
Doutorado,Ciências Exatas e da Terra,2011,"10.894,12"
Doutorado,Ciências Exatas e da Terra,2012,"11.321,23"
Doutorado,Ciências Exatas e da Terra,2013,"12.595,00"
Doutorado,Ciências Exatas e da Terra,2014,"13.938,11"
Doutorado,Ciências Exatas e da Terra,2015,"14.553,41"
Doutorado,Ciências Exatas e da Terra,2016,"15.539,89"
Doutorado,Ciências Exatas e da Terra,2017,"16.485,89"
Doutorado,Ciências Humanas,2009,"8.116,82"
Doutorado,Ciências Humanas,2010,"10.124,92"
Doutorado,Ciências Humanas,2011,"10.601,91"
Doutorado,Ciências Humanas,2012,"10.904,99"
Doutorado,Ciências Humanas,2013,"11.957,03"
Doutorado,Ciências Humanas,2014,"13.076,89"
Doutorado,Ciências Humanas,2015,"13.769,66"
Doutorado,Ciências Humanas,2016,"14.556,88"
Doutorado,Ciências Humanas,2017,"15.314,64"
Doutorado,Ciências Sociais Aplicadas,2009,"11.425,34"
Doutorado,Ciências Sociais Aplicadas,2010,"13.124,58"
Doutorado,Ciências Sociais Aplicadas,2011,"13.770,56"
Doutorado,Ciências Sociais Aplicadas,2012,"14.150,11"
Doutorado,Ciências Sociais Aplicadas,2013,"15.152,97"
Doutorado,Ciências Sociais Aplicadas,2014,"16.018,86"
Doutorado,Ciências Sociais Aplicadas,2015,"16.989,39"
Doutorado,Ciências Sociais Aplicadas,2016,"17.854,88"
Doutorado,Ciências Sociais Aplicadas,2017,"18.410,91"
Doutorado,Engenharias,2009,"9.450,17"
Doutorado,Engenharias,2010,"11.563,67"
Doutorado,Engenharias,2011,"12.176,04"
Doutorado,Engenharias,2012,"12.634,92"
Doutorado,Engenharias,2013,"13.968,58"
Doutorado,Engenharias,2014,"15.323,25"
Doutorado,Engenharias,2015,"15.916,27"
Doutorado,Engenharias,2016,"16.834,48"
Doutorado,Engenharias,2017,"17.713,37"
Doutorado,"Linguística, Letras e Artes",2009,"7.333,08"
Doutorado,"Linguística, Letras e Artes",2010,"9.328,91"
Doutorado,"Linguística, Letras e Artes",2011,"9.869,73"
Doutorado,"Linguística, Letras e Artes",2012,"10.221,33"
Doutorado,"Linguística, Letras e Artes",2013,"11.461,10"
Doutorado,"Linguística, Letras e Artes",2014,"12.617,98"
Doutorado,"Linguística, Letras e Artes",2015,"13.131,19"
Doutorado,"Linguística, Letras e Artes",2016,"13.885,01"
Doutorado,"Linguística, Letras e Artes",2017,"14.604,66"
Doutorado,Multidisciplinar,2009,"8.719,23"
Doutorado,Multidisciplinar,2010,"10.254,53"
Doutorado,Multidisciplinar,2011,"10.723,56"
Doutorado,Multidisciplinar,2012,"11.186,23"
Doutorado,Multidisciplinar,2013,"12.089,20"
Doutorado,Multidisciplinar,2014,"13.173,59"
Doutorado,Multidisciplinar,2015,"13.742,31"
Doutorado,Multidisciplinar,2016,"14.465,56"
Doutorado,Multidisciplinar,2017,"15.204,33"
